class,object,posX,posY,posZ,rotX,rotY,rotZ,scale
createObject,pinetree,5797.296,15974.568000000001,-79.248,161.0,1.31,0.0,0.0
createObject,pinetree,7421.88,16264.128,-106.68,11.0,0.864,0.0,0.0
createObject,oak_tree,6766.56,15776.448,-97.536,133.0,1.066,0.0,0.0
createObject,oak_tree,11018.52,2697.48,94.488,211.0,0.765,0.0,0.0
createObject,pinetree,11484.864,3416.808,57.912,204.0,1.081,0.0,0.0
createObject,pinetree,12737.592,3255.264,124.968,179.0,1.196,0.0,0.0
createObject,rock_1,10792.968,1548.384,298.704,141.0,1.197,0.0,0.0
createObject,mossrock_flat,14660.880000000001,3395.472,36.576,335.0,1.192,0.0,0.0
createObject,mossrock,10256.52,17754.6,1411.224,131.0,0.762,0.0,0.0
createObject,rockambientbirdsound,6327.648,15727.68,-79.248,343.0,1.204,0.0,0.0
createObject,rockambientbirdsound,11311.128,3087.6240000000003,118.872,154.0,1.287,0.0,0.0
createObject,rockambientswampsound,914.4,8628.888,85.344,287.0,0.925,0.0,0.0
createObject,rock_1,10277.856,10158.984,1146.048,305.0,2.66,0.0,0.0
createObject,rock_1,9451.848,10293.096,1008.888,66.0,0.363,0.0,0.0
createObject,fence,10058.4,17532.096,1322.832,287.0,1.252,0.0,0.0
createObject,fence,10299.192000000001,16474.44,1216.152,99.0,1.293,0.0,0.0
createReference,npc_oschore,14654.784,13981.176,469.392,75.0,1.089,0.0,0.0
createReference,npc_oschore,14450.568,14151.864,502.92,358.0,1.147,0.0,0.0
createReference,npc_oschore,14660.880000000001,14368.272,505.968,154.0,1.14,0.0,0.0
createReference,npc_oschore,14971.776,13984.224,469.392,88.0,1.281,0.0,0.0
createReference,npc_oschore,11698.224,14657.832,1243.584,342.0,1.066,0.0,0.0
createReference,npc_oschore,11993.880000000001,14807.184000000001,1301.496,148.0,1.265,0.0,0.0
createReference,npc_chiprel,8872.728000000001,2886.456,1082.04,173.0,1.118,0.0,0.0
createReference,npc_chiprel,8924.544,2721.864,1078.992,72.0,1.127,0.0,0.0
createReference,npc_chiprel,8854.44,2791.968,1082.04,281.0,1.042,0.0,0.0
createReference,npc_chiprel,8506.968,3194.304,1088.136,205.0,1.268,0.0,0.0
createReference,npc_chiprel,5035.296,3934.968,694.944,191.0,1.041,0.0,0.0
createReference,npc_chiprel,4928.616,3785.616,728.472,271.0,1.11,0.0,0.0
createReference,npc_chiprel,8836.152,13024.104,417.576,107.0,1.114,0.0,0.0
createReference,npc_chiprel,9015.984,13167.36,377.952,291.0,1.238,0.0,0.0
createReference,npc_chiprel,8930.64,12862.56,451.104,56.0,1.074,0.0,0.0
createReference,npc_chiprel,10271.76,16181.832,1139.952,209.0,1.007,0.0,0.0
createReference,npc_chiprel,10232.136,16066.008,1097.28,223.0,1.215,0.0,0.0
createReference,npc_chiprel,10131.552,16099.536,1030.224,104.0,1.138,0.0,0.0
createReference,npc_chiprel,16959.072,14581.632,1417.32,218.0,1.024,0.0,0.0
createReference,npc_monkit,6870.192,8799.576000000001,710.184,32.0,1.101,0.0,0.0
createReference,npc_monkit,6665.976,8942.832,716.28,38.0,1.215,0.0,0.0
createReference,npc_monkit,3316.224,8845.296,707.136,145.0,1.139,0.0,0.0
createReference,npc_monkit,3617.976,8942.832,725.424,67.0,1.204,0.0,0.0
createReference,npc_monkit,7278.624,10622.28,1395.984,68.0,1.2,0.0,0.0
createReference,npc_monkit,11878.056,8586.216,1469.136,105.0,1.171,0.0,0.0
createReference,npc_monkit,12249.912,9134.856,1225.296,329.0,1.291,0.0,0.0
createReference,npc_monkit,12176.76,9387.84,1158.24,280.0,1.064,0.0,0.0
createReference,npc_monkit,12268.2,9287.256,1173.48,269.0,1.158,0.0,0.0
createObject,oak_tree,9244.584,10247.376,1136.904,11.0,1.319,0.0,0.0
createObject,oak_tree,10689.336,9598.152,1524.0,44.0,1.154,0.0,0.0
createObject,rockambientoschoresound,14682.216,14170.152,475.488,145.0,0.61,0.0,0.0
createObject,rockambientoschoresound,11646.408,14258.544,1094.232,122.0,0.222,0.0,0.0
createObject,rockambientoschoresound,17986.248,5093.208,140.208,131.0,1.154,0.0,0.0
createReference,npc_oschore,18041.112,5398.008,146.304,35.0,1.282,0.0,0.0
createReference,npc_oschore,17693.64,4898.136,106.68,50.0,1.087,0.0,0.0
createReference,npc_oschore,17879.568,4584.192,82.296,91.0,1.103,0.0,0.0
createReference,npc_oschore,17797.272,5230.368,131.064,61.0,1.137,0.0,0.0
createObject,oak_tree,14292.072,9854.184,630.936,180.0,1.947,0.0,0.0
createObject,oak_tree,12030.456,9223.248,1158.24,189.0,1.4,0.0,0.0
createObject,oak_tree,6922.008,9168.384,810.768,157.0,0.791,0.0,0.0
createObject,oak_tree,2630.424,9357.36,771.144,80.0,1.418,0.0,0.0
createObject,oak_tree,6669.024,11365.992,1563.624,155.0,1.188,0.0,0.0
createObject,pinetree,4212.336,11436.096,1271.016,273.0,0.907,0.0,0.0
createObject,birch_tree_maroon,3800.856,13770.864,1395.984,5.0,0.941,0.0,0.0
createObject,birch_tree_maroon,15041.880000000001,11015.472,484.632,297.0,1.056,0.0,0.0
createObject,birch_tree_maroon,15459.456,6647.688,1706.88,112.0,0.893,0.0,0.0
createObject,birch_tree_maroon,13938.504,8266.176,1170.432,239.0,0.96,0.0,0.0
createObject,birch_tree_maroon,7248.144,7272.528,408.432,284.0,1.131,0.0,0.0
createReference,npc_monkit,7653.528,7019.544,320.04,147.0,1.124,0.0,0.0
createReference,npc_monkit,7784.592000000001,6812.28,402.336,280.0,1.011,0.0,0.0
createReference,npc_monkit,7967.472,6729.984,600.456,122.0,1.227,0.0,0.0
createReference,npc_monkit,7406.64,6644.64,158.496,237.0,1.251,0.0,0.0
createReference,npc_chiprel,10631.424,5849.112,493.776,1.0,1.237,0.0,0.0
createReference,npc_chiprel,10713.72,5715.0,493.776,287.0,1.1,0.0,0.0
createReference,npc_chiprel,10661.904,5522.976,414.528,303.0,1.176,0.0,0.0
createReference,npc_chiprel,643.128,15797.784,158.496,259.0,1.038,0.0,0.0
createObject,birch_tree_maroon,603.504,15931.896,134.112,91.0,1.202,0.0,0.0
createObject,birch_tree_maroon,591.312,14642.592,170.688,61.0,0.767,0.0,0.0
createObject,birch_tree,3764.28,13359.384,1481.328,138.0,0.826,0.0,0.0
createObject,birch_tree,4200.144,13621.512,1539.24,216.0,0.928,0.0,0.0
createReference,npc_oschore,4187.952,5205.984,173.736,205.0,1.081,0.0,0.0
createReference,npc_oschore,3959.352,5343.144,155.448,283.0,1.221,0.0,0.0
createReference,npc_oschore,3724.656,5242.56,195.072,228.0,1.143,0.0,0.0
createObject,rockambientoschoresound,3712.464,4895.088,329.184,351.0,0.538,0.0,0.0
createObject,rockambientoschoresound,11795.76,6650.736,1700.784,87.0,0.919,0.0,0.0
createObject,birch_tree_maroon,11673.84,6620.256,1688.592,347.0,0.946,0.0,0.0
createObject,birch_tree_maroon,15438.12,6571.488,1658.112,289.0,1.107,0.0,0.0
createObject,birch_tree_maroon,13664.184,17672.304,1490.472,104.0,1.044,0.0,0.0
createObject,rockambientmonkitsound,7680.96,7339.584,423.672,88.0,0.817,0.0,0.0
createObject,rockambientbirdsound,685.8,15233.904,204.216,72.0,0.826,0.0,0.0
createObject,rockambientbirdsound,5145.024,9070.848,679.7040000000001,231.0,0.742,0.0,0.0
createObject,rockambientbirdsound,12969.24,3157.728,143.256,184.0,0.637,0.0,0.0
createObject,rockambientbirdsound,13889.736,8186.928,1194.816,329.0,0.558,0.0,0.0
createReference,npc_chiprel,716.28,15621.0,192.024,124.0,1.292,0.0,0.0
createReference,npc_chiprel,896.112,15383.256,204.216,92.0,1.065,0.0,0.0
createReference,npc_chiprel,923.544,15605.76,195.072,92.0,1.003,0.0,0.0
createReference,npc_chiprel,798.576,15160.752,188.976,250.0,1.069,0.0,0.0
createReference,npc_chiprel,627.888,15102.84,188.976,96.0,1.152,0.0,0.0
createObject,mossrock,1018.032,17785.08,-57.912,121.0,0.501,0.0,0.0
createObject,mossrock,1392.936,18056.352,-103.632,329.0,0.962,0.0,0.0
createObject,mossrock_flat,8308.848,16279.368,88.392,160.0,1.207,0.0,0.0
createObject,mossrock_flat,2996.184,16291.56,-42.672,237.0,1.181,0.0,0.0
createObject,mossrock_flat,4818.888,8129.0160000000005,475.488,4.0,0.886,0.0,0.0
createObject,mossrock_flat,13587.984,10094.976,728.472,214.0,0.558,0.0,0.0
createReference,redstone_mine,1603.248,4572.0,1115.568,61.0,0.913,0.0,0.0
createReference,gold_mine,6001.512,1085.088,1164.336,329.0,0.768,0.0,0.0
createReference,gold_mine,14054.328,17096.232,1414.272,176.0,1.224,0.0,0.0
createReference,redstone_mine,18193.512,14938.248,1414.272,241.0,0.878,0.0,0.0
createReference,redstone_mine,7967.472,14395.704,350.52,89.0,1.173,0.0,0.0
createReference,redstone_mine,9921.24,3422.904,112.776,84.0,1.033,0.0,0.0
createObject,ruins_tower,12950.952,7427.976,1274.064,211.0,1.131,0.0,0.0
createObject,ruins_tower,7461.504,11646.408,1383.792,72.0,1.062,0.0,0.0
createReference,redstone_mine,3709.416,9573.768,673.6080000000001,123.0,0.926,0.0,0.0
createReference,redstone_mine,14392.656,8595.36,984.504,290.0,0.835,0.0,0.0
createReference,redstone_mine,17879.568,6004.56,106.68,248.0,1.156,0.0,0.0
createReference,redstone_mine,670.5600000000001,12576.048,97.536,172.0,1.098,0.0,0.0
createObject,ruins_village,4172.712,5748.528,100.584,129.0,1.286,0.0,0.0
createObject,fence,4910.328,5763.768,103.632,111.0,1.063,0.0,0.0
createObject,fence,8046.72,5416.296,243.84,277.0,0.652,0.0,0.0
createObject,ruins_bunker,8534.4,835.152,996.696,15.0,1.189,0.0,0.0
createObject,ruins_bunker,6294.12,3944.112,935.736,91.0,1.1,0.0,0.0
createObject,ruins_bunker,9936.48,13392.912,377.952,228.0,1.051,0.0,0.0
createObject,ruins_bunker,12347.448,17532.096,1426.464,200.0,1.133,0.0,0.0
createObject,ruins_building,16279.368,12679.68,115.824,267.0,1.02,0.0,0.0
createObject,ruins_village,14282.928,12012.168,137.16,2.0,1.175,0.0,0.0
createObject,ruins_bunker,12530.328,14727.936,1310.64,275.0,1.275,0.0,0.0
createObject,ruins_village,4087.368,16959.072,-67.056,345.0,1.074,0.0,0.0
createObject,ruins_village,15858.744,2584.704,60.96,323.0,1.082,0.0,0.0
createObject,hawaiintree,14682.216,17611.344,1466.088,269.0,0.72,0.0,0.0
createObject,hawaiintree,13368.528,13758.672,509.016,71.0,0.576,0.0,0.0
createObject,hawaiintree,7046.976,12731.496000000001,1572.768,75.0,0.815,0.0,0.0
createObject,hawaiintree,3700.272,8400.288,533.4,95.0,0.797,0.0,0.0
createObject,hawaiintree,5647.944,7690.104,332.232,177.0,1.044,0.0,0.0
createObject,hawaiintree,7656.576,6784.848,268.224,264.0,0.786,0.0,0.0
createObject,hawaiintree,9305.544,1920.24,789.432,176.0,0.553,0.0,0.0
createObject,hawaiintree,14840.712,9564.624,697.992,150.0,0.571,0.0,0.0
createObject,hawaiintree,13024.104,9067.8,1042.416,312.0,0.62,0.0,0.0
createObject,hawaiintree,13801.344000000001,9848.088,749.808,182.0,0.435,0.0,0.0
createObject,hawaiintree,13804.392,6169.152,1594.104,267.0,0.825,0.0,0.0
createObject,hawaiintree,15578.328,6428.232,1694.688,334.0,0.596,0.0,0.0
createObject,hawaiintree,11625.072,6851.904,1493.52,224.0,0.592,0.0,0.0
createObject,hawaiintree,1999.488,15233.904,-3.048,353.0,0.445,0.0,0.0
createObject,hawaiintree,5187.696,3755.136,743.712,113.0,0.513,0.0,0.0
createObject,hawaiintree,8354.568,13804.392,320.04,49.0,0.687,0.0,0.0
createObject,hawaiintree,12073.128,12789.408,368.808,357.0,0.583,0.0,0.0
createObject,rock_1,1740.4080000000001,12929.616,106.68,139.0,2.558,0.0,0.0
createObject,hawaiintreebrownleaves,9223.248,10792.968,877.8240000000001,111.0,0.838,0.0,0.0
createObject,hawaiintreebrownleaves,6224.0160000000005,11719.56,1514.856,198.0,0.815,0.0,0.0
createObject,hawaiintreebrownleaves,10680.192000000001,5282.184,393.192,274.0,0.785,0.0,0.0
createObject,rock_1,7748.0160000000005,5705.856,198.12,112.0,2.694,0.0,0.0
createObject,rock_1,9381.744,9223.248,1350.2640000000001,27.0,3.09,0.0,0.0
createObject,hawaiintreebrownleaves,9790.176,17937.48,1267.968,240.0,0.612,0.0,0.0
createObject,hawaiintreebrownleaves,10783.824,17516.856,1423.416,285.0,0.628,0.0,0.0
createObject,hawaiintreebrownleaves,10783.824,17516.856,1423.416,285.0,0.628,0.0,0.0
createObject,hawaiintreebrownleaves,10783.824,17516.856,1423.416,285.0,0.628,0.0,0.0
createObject,small_stonearch,9762.744,9531.096,1749.5520000000001,154.0,3.001,0.0,0.0
createObject,birch_tree,11384.28,10543.032,1642.872,178.0,1.186,0.0,0.0
createObject,mossrock,9768.84,11137.392,862.5840000000001,253.0,1.698,0.0,0.0
createObject,mossrock,9025.128,12481.56,551.688,84.0,1.686,0.0,0.0
createObject,mossrock,9168.384,11658.6,734.568,302.0,0.983,0.0,0.0
createObject,mossrock,9497.568,9997.44,1118.616,107.0,1.11,0.0,0.0
createObject,mossrock,10524.744,8698.992,1033.272,12.0,4.421,0.0,0.0
createObject,mossrock,9576.816,7278.624,746.76,173.0,2.135,0.0,0.0
createObject,mossrock,9564.624,8589.264,1024.128,45.0,2.248,0.0,0.0
createObject,ruins_frontgate,17446.752,8430.768,118.872,3.0,0.757,0.0,0.0
createObject,ruins_bunker,9470.136,4937.76,259.08,61.0,1.069,0.0,0.0
createReference,npc_oschore,14036.04,6019.8,1685.544,34.0,1.04,0.0,0.0
createReference,npc_oschore,13953.744,6379.464,1639.824,257.0,1.046,0.0,0.0
createReference,npc_oschore,12167.616,5038.344,1444.752,44.0,1.241,0.0,0.0
createReference,npc_oschore,12149.328,5346.192,1566.672,84.0,1.027,0.0,0.0
createReference,npc_oschore,12582.144,5126.736,1441.704,273.0,1.254,0.0,0.0
createObject,fence,13511.784,5084.064,1520.952,1.0,1.194,0.0,0.0
createObject,fence,14508.48,5096.256,1597.152,180.0,1.068,0.0,0.0
createObject,fence,15249.144,5154.168,1697.736,13.0,0.805,0.0,0.0
createObject,fence,15605.76,5526.024,1752.6000000000001,267.0,0.623,0.0,0.0
createObject,fence,15578.328,6117.336,1728.2160000000001,277.0,0.743,0.0,0.0
createObject,fence,8260.08,10972.8,1575.816,285.0,1.296,0.0,0.0
createObject,fence,4971.2880000000005,13502.64,1505.712,2.0,1.163,0.0,0.0
createObject,fence,4005.072,13453.872,1475.232,4.0,1.18,0.0,0.0
createObject,fence,3087.6240000000003,13338.048,1572.768,12.0,0.904,0.0,0.0
createObject,fence,2807.208,12914.376,1563.624,108.0,0.811,0.0,0.0
createObject,fence,6790.944,13548.36,1615.44,316.0,0.97,0.0,0.0
createObject,fence,7363.968,12868.656,1612.392,130.0,0.994,0.0,0.0
createObject,fence,4593.336,14542.008,1091.184,358.0,0.886,0.0,0.0
createObject,fence,5376.6720000000005,14542.008,1207.008,359.0,0.922,0.0,0.0
createObject,rock_1,10768.584,6440.424,771.144,189.0,1.42,0.0,0.0
createObject,rock_1,10457.688,4928.616,256.032,311.0,0.955,0.0,0.0
createObject,rock_1,8744.712,3444.2400000000002,1045.464,27.0,1.058,0.0,0.0
createObject,rock_1,9735.312,4700.016,344.424,163.0,1.162,0.0,0.0
createObject,rock_1,11939.016,1231.392,161.544,117.0,0.735,0.0,0.0
createObject,rock_1,10332.72,9308.592,1200.912,71.0,1.191,0.0,0.0
createObject,rockambientwindsound,3069.3360000000002,12938.76,1533.144,48.0,0.645,0.0,0.0
createObject,rockambientwindsound,15221.712,5550.408,1752.6000000000001,150.0,0.571,0.0,0.0
createObject,rockambientbirdsound,14587.728000000001,18230.088,2161.032,186.0,0.633,0.0,0.0
createObject,rockambientbirdsound,5334.0,3569.208,880.872,50.0,0.751,0.0,0.0
